Ansatz,Qubits,Depth,VQC Accuracy,Final Loss,Average Gradient,Final Gradient,Training Time (s),Logistic Regression,Support Vector Machine,Random Forest
manual,2,2,0.6228070175438597,0.9496483159301562,0.10033475688807565,0.0813918821524029,422.81664633750916,0.9912280701754386,0.9649122807017544,0.9824561403508771
manual,2,4,0.6140350877192983,0.899663743432543,0.07693060453303265,0.03561880759699568,682.0463140010834,0.9912280701754386,0.9649122807017544,0.9824561403508771
manual,2,6,0.6403508771929824,0.8712422137064417,0.06761708552310226,0.03872073180562759,985.7352955341339,0.9912280701754386,0.9649122807017544,0.9824561403508771
manual,2,8,0.6228070175438597,0.8754881070443177,0.15729659724177045,0.022702785624121757,1228.864414215088,0.9912280701754386,0.9649122807017544,0.9824561403508771
manual,4,2,0.5877192982456141,0.9788753352691891,0.22333861056295523,0.13224188966271844,887.7581458091736,0.9736842105263158,0.9649122807017544,0.956140350877193
manual,4,4,0.5789473684210527,0.8566094801781039,0.10217080415119754,0.023989185602073932,2013.9845468997955,0.9736842105263158,0.9649122807017544,0.956140350877193
manual,4,6,0.6578947368421053,0.7451221582916517,0.08675933160809783,0.04148067783574759,2427.285637140274,0.9736842105263158,0.9649122807017544,0.956140350877193
manual,4,8,0.6578947368421053,0.7445175546990652,0.13549615565484396,0.05002062948713733,2561.3629903793335,0.9736842105263158,0.9649122807017544,0.956140350877193
manual,6,2,0.6403508771929824,0.945222241120944,0.024595482488634614,0.00679635460276987,1213.652839422226,0.9824561403508771,0.9736842105263158,0.956140350877193
manual,6,4,0.6403508771929824,0.8771430355279648,0.05945968717216239,0.057675445011426206,2252.5753457546234,0.9824561403508771,0.9736842105263158,0.956140350877193
manual,6,6,0.6403508771929824,0.8122994158430327,0.06196074778821909,0.027034035881123516,3557.966140270233,0.9824561403508771,0.9736842105263158,0.956140350877193
manual,6,8,0.6228070175438597,0.7135769978655312,0.07740061024199088,0.03532123446629322,4280.041178703308,0.9824561403508771,0.9736842105263158,0.956140350877193
manual,8,2,0.5350877192982456,1.000619775237829,0.23348482645094848,0.15912872642303696,1546.9229981899261,0.9912280701754386,0.9649122807017544,0.9473684210526315
manual,8,4,0.5964912280701754,0.9217305653953195,0.09688928028331205,0.038642389226461515,2950.380766391754,0.9912280701754386,0.9649122807017544,0.9473684210526315
manual,8,6,0.631578947368421,0.7471062164125577,0.10153846175072635,0.050039533140165265,4276.889944553375,0.9912280701754386,0.9649122807017544,0.9473684210526315
manual,8,8,0.6052631578947368,0.7559932984794487,0.06866393737186939,0.03283229000571377,5714.049509763718,0.9912280701754386,0.9649122807017544,0.9473684210526315
strong,2,2,0.7017543859649122,0.9248507773617085,0.09648462232619542,0.031225516285360105,691.2032008171082,0.9912280701754386,0.9649122807017544,0.9824561403508771
strong,2,4,0.6578947368421053,0.8440700074493488,0.12289904186787151,0.051519110608688606,1259.9554235935211,0.9912280701754386,0.9649122807017544,0.9824561403508771
strong,2,6,0.6491228070175439,0.8426825879706549,0.1755514395162016,0.07425549007692621,1846.287842988968,0.9912280701754386,0.9649122807017544,0.9824561403508771
strong,2,8,0.6491228070175439,0.8419317605651876,0.15434136160328066,0.06788227815106308,2388.78080868721,0.9912280701754386,0.9649122807017544,0.9824561403508771
strong,4,2,0.5877192982456141,0.9508220853255834,0.05469766052969846,0.040505970322650534,1291.5377032756805,0.9736842105263158,0.9649122807017544,0.956140350877193
strong,4,4,0.7280701754385965,0.683462702437069,0.079259176225926,0.04350629356340593,2440.7902834415436,0.9736842105263158,0.9649122807017544,0.956140350877193
strong,4,6,0.6754385964912281,0.670872561114416,0.093660214687214,0.04569619218899915,5441.8261597156525,0.9736842105263158,0.9649122807017544,0.956140350877193
strong,4,8,0.7192982456140351,0.6507637444992715,0.11415373093132311,0.04951253964376996,5460.66531419754,0.9736842105263158,0.9649122807017544,0.956140350877193
strong,6,2,0.5263157894736842,0.927665572580974,0.03614726251181776,0.017592092469225044,1948.9710907936096,0.9824561403508771,0.9736842105263158,0.956140350877193
strong,6,4,0.6228070175438597,0.7209647030426364,0.05757872296653441,0.0781249501650398,3720.980365037918,0.9824561403508771,0.9736842105263158,0.956140350877193
strong,6,6,0.6842105263157895,0.7177479115997982,0.07471692740412701,0.04869370727570343,5444.094064474106,0.9824561403508771,0.9736842105263158,0.956140350877193
strong,6,8,0.7105263157894737,0.6721642445250601,0.0746701992522955,0.039352736457061534,7471.455907821655,0.9824561403508771,0.9736842105263158,0.956140350877193
strong,8,2,0.631578947368421,0.8957294065192742,0.02885796822461548,0.014485513527329286,2789.4619965553284,0.9912280701754386,0.9649122807017544,0.9473684210526315
strong,8,4,0.631578947368421,0.7650835344024126,0.0521918173060734,0.06995785880470147,5195.756769895554,0.9912280701754386,0.9649122807017544,0.9473684210526315
strong,8,6,0.631578947368421,0.8084841501743987,0.05138767611632105,0.03056576647409443,9209.709286689758,0.9912280701754386,0.9649122807017544,0.9473684210526315
strong,8,8,0.7017543859649122,0.7858362290655863,0.05625581917674969,0.028122763277651508,12779.532494068146,0.9912280701754386,0.9649122807017544,0.9473684210526315
